playlist_index,artist_name,artist_uri,album_name,album_uri,track_name,track_uri,duration_ms_x,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
66,"Nelly, Kelly Rowland","spotify:artist:2gBjLmx6zQnFGQJCAQpRgw, spotify:artist:3AuMNF8rQAKOzjYppFNAoB",Nellyville,spotify:album:4HUUHHXBXImwksfbSPqE7q,Dilemma,spotify:track:0ARK753YaiJbpLUk7z5yIM,289160,2002-06-25,78,0.727,0.552,2,-8.074,0,0.14,0.226,0.00016,0.198,0.607,168.19,audio_features,0ARK753YaiJbpLUk7z5yIM,https://api.spotify.com/v1/tracks/0ARK753YaiJbpLUk7z5yIM,https://api.spotify.com/v1/audio-analysis/0ARK753YaiJbpLUk7z5yIM,289160,4
67,Kelly Clarkson,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,Greatest Hits - Chapter One,spotify:album:0UxWN628tSTCaR4NVpqSHM,Because of You,spotify:track:1258tSoXDDa43uqT75r5N0,220373,2012-11-16,50,0.583,0.58,5,-5.395,0,0.0319,0.243,0.0,0.198,0.119,139.82,audio_features,1258tSoXDDa43uqT75r5N0,https://api.spotify.com/v1/tracks/1258tSoXDDa43uqT75r5N0,https://api.spotify.com/v1/audio-analysis/1258tSoXDDa43uqT75r5N0,220373,4
68,Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp,Servicio De Lavandería,spotify:album:62F8unRY46ZDR2EE5ag5Z5,Underneath Your Clothes,spotify:track:6biR1gMwcN71SDt3Eh4eEu,224426,2001,48,0.624,0.592,8,-5.279,1,0.036,0.653,0.0,0.106,0.398,165.54,audio_features,6biR1gMwcN71SDt3Eh4eEu,https://api.spotify.com/v1/tracks/6biR1gMwcN71SDt3Eh4eEu,https://api.spotify.com/v1/audio-analysis/6biR1gMwcN71SDt3Eh4eEu,224427,4
69,Aerosmith,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,Armageddon - The Album,spotify:album:4f7HKjBnjpMsDBDTHYV890,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",spotify:track:225xvV8r1yKMHErSWivnow,298760,1998-06-23,72,0.383,0.662,2,-5.162,1,0.0333,0.165,0.0,0.248,0.138,121.154,audio_features,225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/audio-analysis/225xvV8r1yKMHErSWivnow,298760,4
70,Bon Jovi,spotify:artist:58lV9VcRSjABbAbfWS6skp,Bon Jovi Greatest Hits,spotify:album:3Ad4QdO0EJr1c2livr9cmm,Always,spotify:track:7o10Pto0YFchZl1zL4dLPH,353106,2010-01-01,0,0.373,0.678,4,-5.528,1,0.0325,0.143,0.0,0.168,0.346,141.42,audio_features,7o10Pto0YFchZl1zL4dLPH,https://api.spotify.com/v1/tracks/7o10Pto0YFchZl1zL4dLPH,https://api.spotify.com/v1/audio-analysis/7o10Pto0YFchZl1zL4dLPH,353107,4
71,Creed,spotify:artist:43sZBwHjahUvgbx1WNIkIz,Human Clay,spotify:album:3Nyjm9NBEdiaiWr2BEaV46,With Arms Wide Open,spotify:track:0eKyHwckh9vQb8ncZ2DXCs,274800,1999-01-01,68,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,audio_features,0eKyHwckh9vQb8ncZ2DXCs,https://api.spotify.com/v1/tracks/0eKyHwckh9vQb8ncZ2DXCs,https://api.spotify.com/v1/audio-analysis/0eKyHwckh9vQb8ncZ2DXCs,274800,4
72,Creed,spotify:artist:43sZBwHjahUvgbx1WNIkIz,Weathered,spotify:album:2ENlJXygQX6en4iziijet6,One Last Breath,spotify:track:42T2QQv3xgBlpQxaSP7lnK,238240,2001-01-01,75,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,audio_features,42T2QQv3xgBlpQxaSP7lnK,https://api.spotify.com/v1/tracks/42T2QQv3xgBlpQxaSP7lnK,https://api.spotify.com/v1/audio-analysis/42T2QQv3xgBlpQxaSP7lnK,238240,4
73,Creed,spotify:artist:43sZBwHjahUvgbx1WNIkIz,Weathered,spotify:album:2ENlJXygQX6en4iziijet6,My Sacrifice,spotify:track:2VSbEXqs6NbNiZSTcHlIDR,294600,2001-01-01,72,0.32,0.88,2,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,audio_features,2VSbEXqs6NbNiZSTcHlIDR,https://api.spotify.com/v1/tracks/2VSbEXqs6NbNiZSTcHlIDR,https://api.spotify.com/v1/audio-analysis/2VSbEXqs6NbNiZSTcHlIDR,294600,4
74,Olly Alexander (Years & Years),spotify:artist:5vBSrE1xujD2FXYRarbAXc,Take Shelter,spotify:album:2dzxJbiJKhQo2aqUrtjZP0,Take Shelter,spotify:track:0dftdFz4eI4kGctUMLBxUc,245032,2014-01-01,32,0.713,0.571,6,-6.015,0,0.0707,0.0613,0.0,0.148,0.66,99.986,audio_features,0dftdFz4eI4kGctUMLBxUc,https://api.spotify.com/v1/tracks/0dftdFz4eI4kGctUMLBxUc,https://api.spotify.com/v1/audio-analysis/0dftdFz4eI4kGctUMLBxUc,245033,4
75,"Coolio, L.V.","spotify:artist:3y24n3XhZ96wgwRXjvS17T, spotify:artist:2LhsePRtgCo4THVKULQBL7",Gangsta's Paradise,spotify:album:0fYctMs4EvoEqzDh8Kmg5g,Gangsta's Paradise,spotify:track:7lQWRAjyhTpCWFC0jmclT4,240693,1995-11-07,4,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.387,79.974,audio_features,7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/tracks/7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/audio-analysis/7lQWRAjyhTpCWFC0jmclT4,240693,4
76,Bryan Adams,spotify:artist:3Z02hBLubJxuFJfhacLSDc,The Best Of Me,spotify:album:4kbE34G5bxaxwuCqz0NEw4,Have You Ever Really Loved A Woman?,spotify:track:0zM1AyagtXphAIgK0RbEKf,289373,1999-01-01,0,0.567,0.529,7,-8.091,1,0.0295,0.555,9.82e-06,0.0936,0.352,145.587,audio_features,0zM1AyagtXphAIgK0RbEKf,https://api.spotify.com/v1/tracks/0zM1AyagtXphAIgK0RbEKf,https://api.spotify.com/v1/audio-analysis/0zM1AyagtXphAIgK0RbEKf,289373,3
77,Rammstein,spotify:artist:6wWVKhxIU2cEi0K81v7HvP,Sehnsucht,spotify:album:6f4dhaPfZqf2JXewAvE4gq,Du hast,spotify:track:3cwDSDzTiWr5H5xMQhQ6Mx,234226,1997-08-25,0,0.64,0.922,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.105,audio_features,3cwDSDzTiWr5H5xMQhQ6Mx,https://api.spotify.com/v1/tracks/3cwDSDzTiWr5H5xMQhQ6Mx,https://api.spotify.com/v1/audio-analysis/3cwDSDzTiWr5H5xMQhQ6Mx,234227,4
78,Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Hybrid Theory (Bonus Edition),spotify:album:6hPkbAV3ZXpGZBGUvL6jVM,In the End,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,216880,2000,87,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,audio_features,60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880,4
79,Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,Hybrid Theory (Bonus Edition),spotify:album:6hPkbAV3ZXpGZBGUvL6jVM,Crawling,spotify:track:57BrRMwf9LrcmuOsyGilwr,208960,2000,77,0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,audio_features,57BrRMwf9LrcmuOsyGilwr,https://api.spotify.com/v1/tracks/57BrRMwf9LrcmuOsyGilwr,https://api.spotify.com/v1/audio-analysis/57BrRMwf9LrcmuOsyGilwr,208960,4
80,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Number Ones,spotify:album:1jcYwZsN7JEve9xsq9BuUX,You Rock My World - Radio Edit,spotify:track:4oY2T9ur7Ll5b2kpBlcWcb,265933,1979,61,0.819,0.774,4,-2.53,0,0.101,0.0297,0.000626,0.0896,0.947,95.004,audio_features,4oY2T9ur7Ll5b2kpBlcWcb,https://api.spotify.com/v1/tracks/4oY2T9ur7Ll5b2kpBlcWcb,https://api.spotify.com/v1/audio-analysis/4oY2T9ur7Ll5b2kpBlcWcb,265933,4
81,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Doo-Wops & Hooligans,spotify:album:6J84szYCnMfzEcvIcfWMFL,Grenade,spotify:track:4lLtanYk6tkMvooU0tWzG8,222091,2010-10-05,79,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,audio_features,4lLtanYk6tkMvooU0tWzG8,https://api.spotify.com/v1/tracks/4lLtanYk6tkMvooU0tWzG8,https://api.spotify.com/v1/audio-analysis/4lLtanYk6tkMvooU0tWzG8,222091,4
82,Stevie B,spotify:artist:6V7pNWhlJpD0s0bMdB1PU9,Love And Emotion,spotify:album:0ruAWd75Hr6xtUS2ht8HW1,Because I Love You (The Postman Song),spotify:track:6VmodO1LYuO5RVpaqn5kwp,303333,1990,44,0.347,0.37,1,-10.027,1,0.0291,0.743,2.67e-06,0.113,0.0584,128.398,audio_features,6VmodO1LYuO5RVpaqn5kwp,https://api.spotify.com/v1/tracks/6VmodO1LYuO5RVpaqn5kwp,https://api.spotify.com/v1/audio-analysis/6VmodO1LYuO5RVpaqn5kwp,303333,4
83,Pearl Jam,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,Ten,spotify:album:5B4PYA7wNN4WdEXdIJu58a,Black,spotify:track:5Xak5fmy089t0FYmh3VJiY,342653,1991-08-27,73,0.36,0.684,4,-6.457,0,0.0308,0.323,0.0,0.34,0.2,77.15,audio_features,5Xak5fmy089t0FYmh3VJiY,https://api.spotify.com/v1/tracks/5Xak5fmy089t0FYmh3VJiY,https://api.spotify.com/v1/audio-analysis/5Xak5fmy089t0FYmh3VJiY,342653,4
84,LP,spotify:artist:0J7U24vlOOIeMpuaO6Q85A,Lost on You,spotify:album:0dYi4VGov4Dl4AED2eVwPw,When We're High,spotify:track:7ohDUXs6SsU3XjTI9pcKTS,237500,2017-05-05,3,0.754,0.739,4,-5.186,0,0.0383,0.0214,6.56e-06,0.114,0.573,112.996,audio_features,7ohDUXs6SsU3XjTI9pcKTS,https://api.spotify.com/v1/tracks/7ohDUXs6SsU3XjTI9pcKTS,https://api.spotify.com/v1/audio-analysis/7ohDUXs6SsU3XjTI9pcKTS,237501,4
85,LP,spotify:artist:0J7U24vlOOIeMpuaO6Q85A,Lost on You,spotify:album:0dYi4VGov4Dl4AED2eVwPw,Lost on You,spotify:track:2LIh4uzqq9cXMPzzmcToHl,268105,2017-05-05,10,0.433,0.724,5,-6.126,0,0.0372,0.1,0.0,0.0918,0.689,174.006,audio_features,2LIh4uzqq9cXMPzzmcToHl,https://api.spotify.com/v1/tracks/2LIh4uzqq9cXMPzzmcToHl,https://api.spotify.com/v1/audio-analysis/2LIh4uzqq9cXMPzzmcToHl,268105,4
86,t.A.T.u.,spotify:artist:2Q3eZMfDQgT8MhPowKFXYO,200 KM/H In The Wrong Lane (10th Anniversary Edition),spotify:album:4vyPN44zoiJXE6hruCCrGB,All The Things She Said,spotify:track:4bJygwUKrRgq1stlNXcgMg,214440,2002,75,0.527,0.834,5,-5.767,0,0.0474,0.0411,0.00599,0.105,0.381,179.92,audio_features,4bJygwUKrRgq1stlNXcgMg,https://api.spotify.com/v1/tracks/4bJygwUKrRgq1stlNXcgMg,https://api.spotify.com/v1/audio-analysis/4bJygwUKrRgq1stlNXcgMg,214440,4
87,Avril Lavigne,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,The Best Damn Thing (Expanded Edition),spotify:album:6lqE05fiHWJVYYdMVJNj38,When You're Gone,spotify:track:54JKnDB3CzVu8wNAOM27BI,240493,2007-04-17,68,0.457,0.719,4,-3.921,0,0.0323,0.191,0.0,0.228,0.168,142.034,audio_features,54JKnDB3CzVu8wNAOM27BI,https://api.spotify.com/v1/tracks/54JKnDB3CzVu8wNAOM27BI,https://api.spotify.com/v1/audio-analysis/54JKnDB3CzVu8wNAOM27BI,240493,4
88,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,The Eminem Show,spotify:album:2cWBwpqMsDJC1ZUwz813lo,Cleanin' Out My Closet,spotify:track:7BMO7O7ImjV8HNTH74Tshv,297840,2002-05-26,72,0.908,0.758,9,-4.753,0,0.174,0.0687,0.0,0.0783,0.87,148.015,audio_features,7BMO7O7ImjV8HNTH74Tshv,https://api.spotify.com/v1/tracks/7BMO7O7ImjV8HNTH74Tshv,https://api.spotify.com/v1/audio-analysis/7BMO7O7ImjV8HNTH74Tshv,297840,4
89,Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI,"Fire On Fire (From ""Watership Down"")",spotify:album:5utJfkRQ5yEIat3AIK6WIL,"Fire On Fire - From ""Watership Down""",spotify:track:5rFj8OzffT0iggSjcBaeND,246735,2018-12-21,61,0.584,0.408,1,-7.356,0,0.0461,0.476,0.0,0.18,0.333,115.129,audio_features,5rFj8OzffT0iggSjcBaeND,https://api.spotify.com/v1/tracks/5rFj8OzffT0iggSjcBaeND,https://api.spotify.com/v1/audio-analysis/5rFj8OzffT0iggSjcBaeND,246735,4
90,Rammstein,spotify:artist:6wWVKhxIU2cEi0K81v7HvP,Rammstein,spotify:album:1LoyJQVHPLHE3fCCS8Juek,Deutschland,spotify:track:2bPGTMB5sFfFYQ2YvSmup0,322339,2019-05-17,75,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,audio_features,2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/tracks/2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/audio-analysis/2bPGTMB5sFfFYQ2YvSmup0,322340,4
91,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Metallica,spotify:album:2Kh43m04B1UkVcpcRa1Zug,The Unforgiven,spotify:track:4aYLAF6ckQ5ooGGGM7sWAa,386493,1991-08-12,72,0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,audio_features,4aYLAF6ckQ5ooGGGM7sWAa,https://api.spotify.com/v1/tracks/4aYLAF6ckQ5ooGGGM7sWAa,https://api.spotify.com/v1/audio-analysis/4aYLAF6ckQ5ooGGGM7sWAa,386493,4
92,Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,Origins (Deluxe),spotify:album:3JfSxDfmwS5OeHPwLSkrfr,Natural,spotify:track:2FY7b99s15jUprqC0M5NCT,189466,2018-11-09,80,0.704,0.611,2,-6.112,1,0.041,0.217,0.0,0.0812,0.22,99.994,audio_features,2FY7b99s15jUprqC0M5NCT,https://api.spotify.com/v1/tracks/2FY7b99s15jUprqC0M5NCT,https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT,189467,4
93,Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney (Digital Deluxe Version),spotify:album:5ax3GTsfX5uCUaNgnJsSG5,Overprotected - Radio Edit,spotify:track:5p0KCAuu5nrHpTuAIhHdLw,198600,2001-10-31,61,0.682,0.894,0,-1.73,0,0.0727,0.0381,0.0,0.416,0.845,95.992,audio_features,5p0KCAuu5nrHpTuAIhHdLw,https://api.spotify.com/v1/tracks/5p0KCAuu5nrHpTuAIhHdLw,https://api.spotify.com/v1/audio-analysis/5p0KCAuu5nrHpTuAIhHdLw,198600,4
94,Capital Cities,spotify:artist:4gwpcMTbLWtBUlOijbVpuu,In A Tidal Wave Of Mystery (Deluxe Edition),spotify:album:3WrufJir7I61NkvkDwxero,Safe And Sound,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,192789,2013,82,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,audio_features,6Z8R6UsFuGXGtiIxiD8ISb,https://api.spotify.com/v1/tracks/6Z8R6UsFuGXGtiIxiD8ISb,https://api.spotify.com/v1/audio-analysis/6Z8R6UsFuGXGtiIxiD8ISb,192790,5
95,P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR,M!ssundaztood (Expanded Edition),spotify:album:57wJKO7qrPw56iOEKhTmg2,Just Like a Pill,spotify:track:1BpV8IGf4XsRRJf4Xuui9q,236600,2001,67,0.689,0.774,9,-4.528,1,0.0278,8.72e-05,0.0,0.0941,0.25,102.054,audio_features,1BpV8IGf4XsRRJf4Xuui9q,https://api.spotify.com/v1/tracks/1BpV8IGf4XsRRJf4Xuui9q,https://api.spotify.com/v1/audio-analysis/1BpV8IGf4XsRRJf4Xuui9q,236600,4
96,The Verve,spotify:artist:2cGwlqi3k18jFpUyTrsR84,Urban Hymns (Remastered 2016),spotify:album:52AeC4gwbxDfFlLHgK1ByD,Bitter Sweet Symphony - Remastered 2016,spotify:track:57iDDD9N9tTWe75x6qhStw,357266,1997-09-29,79,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,audio_features,57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw,https://api.spotify.com/v1/audio-analysis/57iDDD9N9tTWe75x6qhStw,357267,4
97,Thirty Seconds To Mars,spotify:artist:0RqtSIYZmd4fiBKVFqyIqD,This Is War (Deluxe),spotify:album:5nI4Eo1vWUWXzeT4WrzTGL,Hurricane,spotify:track:69wXbIKtG6hzE4ID0wJTry,372133,2009,43,0.533,0.747,10,-5.678,0,0.0443,0.041,5.7e-06,0.261,0.277,124.97,audio_features,69wXbIKtG6hzE4ID0wJTry,https://api.spotify.com/v1/tracks/69wXbIKtG6hzE4ID0wJTry,https://api.spotify.com/v1/audio-analysis/69wXbIKtG6hzE4ID0wJTry,372133,4
98,Olly Alexander (Years & Years),spotify:artist:5vBSrE1xujD2FXYRarbAXc,Communion (Deluxe),spotify:album:0bWYlK9rRmIB68icHx9PNR,Desire,spotify:track:20ouJW3BTG6aFAugslihCw,206773,2015-07-10,58,0.685,0.792,10,-4.157,0,0.0443,0.223,0.0,0.334,0.736,126.002,audio_features,20ouJW3BTG6aFAugslihCw,https://api.spotify.com/v1/tracks/20ouJW3BTG6aFAugslihCw,https://api.spotify.com/v1/audio-analysis/20ouJW3BTG6aFAugslihCw,206773,4
99,"ZAYN, Sia","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN",Icarus Falls,spotify:album:1DF9B2hfwX4EdgEFwGcRwh,Dusk Till Dawn (feat. Sia) - Radio Edit,spotify:track:3e7sxremeOE3wTySiOhGiP,239000,2018-12-14,80,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,audio_features,3e7sxremeOE3wTySiOhGiP,https://api.spotify.com/v1/tracks/3e7sxremeOE3wTySiOhGiP,https://api.spotify.com/v1/audio-analysis/3e7sxremeOE3wTySiOhGiP,239000,4
100,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Metallica,spotify:album:2Kh43m04B1UkVcpcRa1Zug,Enter Sandman,spotify:track:5sICkBXVmaCQk5aISGR3x1,331266,1991-08-12,80,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,audio_features,5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/tracks/5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/audio-analysis/5sICkBXVmaCQk5aISGR3x1,331267,4
